Fecha,Ano,Mes,Dia,TOTAL
2020-02-26 17:46:21,2020,2,26,0
2019-10-07 09:21:58,2019,10,7,2
2019-03-27 08:47:12,2019,3,27,6
2018-12-20 10:11:41,2018,12,20,16
2019-07-27 09:58:14,2019,7,27,0
2019-05-22 08:46:40,2019,5,22,3
2020-01-16 15:18:46,2020,1,16,4
2019-08-02 08:22:52,2019,8,2,18
2019-11-22 11:16:00,2019,11,22,30
2020-02-21 11:59:11,2020,2,21,2
2020-03-05 15:14:39,2020,3,5,19
2019-06-14 15:48:01,2019,6,14,25
2020-04-17 11:45:28,2020,4,17,7
2020-02-10 08:18:37,2020,2,10,2
2020-01-13 07:47:10,2020,1,13,0
2019-05-31 15:43:48,2019,5,31,15
2019-12-03 17:07:37,2019,12,3,20
2020-01-23 10:06:50,2020,1,23,27
2018-12-13 10:42:35,2018,12,13,8
2018-11-09 08:04:03,2018,11,9,4
2019-05-17 07:53:50,2019,5,17,3
2019-08-16 08:45:32,2019,8,16,2
2019-12-20 08:35:38,2019,12,20,0
2019-07-12 07:31:45,2019,7,12,7
2020-02-12 15:38:05,2020,2,12,0
2019-07-29 09:29:23,2019,7,29,7
2020-03-09 09:48:11,2020,3,9,8
2019-10-15 13:26:42,2019,10,15,3
2020-02-10 07:49:59,2020,2,10,0
2019-07-05 12:15:04,2019,7,5,58
2020-05-11 09:34:55,2020,5,11,41
2020-02-27 08:58:26,2020,2,27,23
2019-07-29 08:22:19,2019,7,29,0
2020-03-02 09:20:59,2020,3,2,0
2020-02-12 08:27:17,2020,2,12,0
2019-08-05 08:51:14,2019,8,5,0
2019-07-31 16:22:10,2019,7,31,29
2019-02-01 09:17:17,2019,2,1,2
2019-09-04 12:05:40,2019,9,4,4
2020-03-11 09:34:11,2020,3,11,4
2019-12-30 10:50:28,2019,12,30,18
2020-02-06 11:40:30,2020,2,6,15
2019-11-18 08:52:57,2019,11,18,0
2019-03-06 08:36:59,2019,3,6,0
2020-01-29 09:48:02,2020,1,29,4
2020-03-04 09:58:17,2020,3,4,0
2020-04-24 12:36:02,2020,4,24,0
2019-09-28 11:57:16,2019,9,28,0
2020-03-11 10:31:22,2020,3,11,0
2019-09-18 09:43:30,2019,9,18,17
2019-06-27 14:10:17,2019,6,27,16
2018-11-22 11:50:25,2018,11,22,2
2019-07-22 08:56:05,2019,7,22,3
2019-10-21 08:18:18,2019,10,21,0
2019-12-10 15:35:53,2019,12,10,14
2020-01-09 11:56:38,2020,1,9,6
2020-02-07 10:31:30,2020,2,7,20
2019-12-27 10:11:52,2019,12,27,38
2019-07-15 09:53:12,2019,7,15,0
2019-09-28 08:56:09,2019,9,28,0
2019-09-04 10:53:36,2019,9,4,9
2020-01-29 09:02:14,2020,1,29,0
2020-02-12 08:29:12,2020,2,12,0
2019-07-27 11:04:23,2019,7,27,9
2020-02-19 09:22:08,2020,2,19,0
2019-08-09 08:36:48,2019,8,9,52
2019-12-13 09:52:52,2019,12,13,38
2020-01-29 09:41:00,2020,1,29,0
2019-09-28 08:25:52,2019,9,28,0
2019-08-29 11:52:57,2019,8,29,38
2019-09-02 07:51:09,2019,9,2,0
2020-01-09 16:38:11,2020,1,9,41
2019-10-04 15:38:14,2019,10,4,8
2019-07-31 14:29:33,2019,7,31,12
2020-01-29 10:38:29,2020,1,29,3
2018-12-19 14:06:45,2018,12,19,3
2019-09-26 10:17:46,2019,9,26,8
2019-11-27 13:56:06,2019,11,27,4
2020-02-12 10:17:58,2020,2,12,4
2019-07-19 15:40:09,2019,7,19,36
2020-01-30 16:05:51,2020,1,30,65
2020-02-19 09:05:10,2020,2,19,24
2019-09-11 08:44:02,2019,9,11,1
2020-03-04 08:24:19,2020,3,4,4
2020-02-05 08:57:25,2020,2,5,0
2019-03-06 07:30:26,2019,3,6,2
2019-08-21 10:03:11,2019,8,21,9
2020-02-19 10:40:55,2020,2,19,8
2019-09-30 07:30:49,2019,9,30,58
2020-01-08 15:11:48,2020,1,8,7
2019-07-22 07:26:08,2019,7,22,0
2019-12-20 14:05:50,2019,12,20,10
2020-02-05 10:37:29,2020,2,5,0
2019-10-04 09:12:22,2019,10,4,49
2020-02-12 09:26:56,2020,2,12,0
2019-07-12 12:13:25,2019,7,12,40
2018-12-20 07:48:02,2018,12,20,3
2020-02-17 16:00:42,2020,2,17,6
2019-08-12 08:14:41,2019,8,12,0
2020-03-12 14:59:36,2020,3,12,19
2020-01-07 14:59:00,2020,1,7,18
2020-03-11 11:16:43,2020,3,11,2
2019-07-29 08:48:49,2019,7,29,0
2019-05-15 07:32:32,2019,5,15,35
2019-06-07 13:25:48,2019,6,7,10
2019-11-14 12:36:37,2019,11,14,9
2020-01-29 11:44:43,2020,1,29,0
2019-01-16 09:29:50,2019,1,16,8
2019-06-12 14:43:03,2019,6,12,24
2018-10-17 08:15:23,2018,10,17,16
2019-11-01 11:47:56,2019,11,1,9
2020-02-05 11:01:53,2020,2,5,0
2019-11-01 14:08:07,2019,11,1,49
2020-01-29 08:31:06,2020,1,29,0
2019-08-24 11:36:16,2019,8,24,0
2020-02-10 07:15:53,2020,2,10,0
2019-09-23 08:59:34,2019,9,23,0
2020-02-27 08:25:26,2020,2,27,2
2019-09-04 09:20:57,2019,9,4,34
2020-01-29 10:38:26,2020,1,29,64
2019-11-16 11:28:23,2019,11,16,0
2020-05-14 15:18:43,2020,5,14,2
2020-01-29 11:10:15,2020,1,29,0
2020-01-24 15:08:58,2020,1,24,5
2020-02-05 11:41:35,2020,2,5,0
2019-07-29 09:55:24,2019,7,29,0
